CODE,BIODIV,F_THREAT
1678,1.092675091,0
1679,1.79880599,0.457457
1680,1.608033619,0
1836,1.753974099,0
1837,1.847359429,1.58058
1838,2.467418141,0.722723
1839,2.467418141,0.701702
1840,1.424589686,0.475475
1841,1.456099612,0.614615
1842,1.446278541,0.520521
1843,1.681545688,0.512513
1844,1.666709563,0
1845,0.99774774,0
1846,1.00066919,1
1847,1.042876589,1
1848,1.042876589,1
1849,1.350746433,0
1850,1.349110048,0
1851,1.08352609,1
1996,2.253857745,1
1997,1.691214058,1.46547
1998,1.605448051,1.70671
1999,1.595248065,1.68268
2000,1.595248065,1.54655
2001,1.632650644,1.53253
2002,1.624186955,1.64264
2003,1.553759955,0.597598
2004,1.699315818,0.674675
2005,1.71176676,0.702703
2006,1.763433802,0.710711
2007,1.764315541,0.724725
2008,1.454593467,0.701702
2009,1.738805313,0.716717
2010,1.74909874,0.664665
2011,1.741771737,0.598599
2012,1.316217565,0.637638
2013,1.318517312,0.642643
2014,1.100167055,0
2155,1.346709376,0
2156,1.392053584,0.257257
2157,1.479133736,1.37237
2158,2.053421997,0.700701
2159,1.279742713,0.617618
2160,1.126394145,0.135135
2161,1.119726812,0.0850851
2162,1.119726812,1.26126
2163,1.138677335,1.29029
2164,1.33352487,0.381381
2165,1.293634436,0.163163
2166,1.227232451,0.0590591
2167,1.123177991,0.15015
2168,1.160220842,0.114114
2169,1.191614114,0.141141
2170,1.204796218,0.0970971
2171,1.225548614,0.436436
2172,1.225548614,0.587588
2173,1.206936749,0.535536
2174,1.32281014,0.576577
2175,1.36943531,0
2315,1.34598203,0
2316,1.373909336,0.0940941
2317,1.428783506,1.42142
2318,1.373925237,0.696697
2319,1.289821197,0.427427
2320,1.04121655,0.049049
2321,1.02174996,0.113113
2322,1.052256817,0.032032
2323,1.052256817,1.02703
2324,1.057838492,1.03804
2325,1.058540984,1.02503
2326,1.019213918,0.018018
2327,1.028305408,0.025025
2328,1.012801549,0.033033
2329,1.106069877,1.05205
2330,1.138110581,0.186186
2331,1.124321082,0.38038
2332,1.383972896,0.447447
2333,1.383972896,0.57958
2334,1.430348678,0.652653
2335,1.34835792,0.664665
2336,1.348531196,0.726727
2337,1.327131314,0
2476,1.437624597,0.108108
2477,1.565369683,1.57357
2478,1.482941739,0.651652
2479,1.18695665,0.115115
2480,1.050034669,0.0930931
2481,1.030414158,0.171171
2482,1.036034215,0.0540541
2483,1.067205951,0.035035
2484,1.080579552,0.034034
2485,1.080579552,1.04004
2486,1.022954075,0.031031
2487,1.081678923,0.0540541
2488,1.087385834,0.0660661
2489,1.1004527,0.121121
2490,1.120722986,0.262262
2491,1.105141103,0.132132
2492,1.375852071,0.465465
2493,1.397958913,0.541542
2494,1.287628778,0.633634
2495,1.287628778,0.613614
2496,1.206815817,0.666667
2497,1.349040854,0.712713
2498,1.368276363,0
2636,1.674766987,1.05506
2637,1.524493895,1.17417
2638,1.293977199,0.348348
2639,1.16441474,0.251251
2640,1.043423658,0.151151
2641,1.008252465,0.038038
2642,1.009526477,0.023023
2643,1.020103119,0.026026
2644,1.054617137,0.038038
2645,1.040397577,1.02903
2646,1.040397577,1.03804
2647,1.088833059,0.0700701
2648,1.100316598,0.192192
2649,1.105476337,0.226226
2650,1.105843586,0.0970971
2651,1.101066763,0.0970971
2652,1.125486717,1.22623
2653,1.160496191,1.25425
2654,1.206805192,1.26727
2655,1.216216332,1.62162
2656,1.216066783,1.58158
2657,1.216066783,0.72973
2658,1.39750138,0.717718
2659,1.532213967,0
2795,1.720660158,1.04304
2796,1.720660158,1.05105
2797,1.31059398,0.038038
2798,1.184217237,0.226226
2799,1.096348397,0.219219
2800,1.017544725,0.029029
2801,1.578008448,0.019019
2802,1.000000771,0.017017
2803,0.994144265,0.021021
2804,1.032561898,0.025025
